user_id,level,score,hint_count,challenges_completed,success_rate,avg_completion_time,consecutive_successes,consecutive_failures,days_since_registration,sql_injection_score,xss_score,command_injection_score,authentication_score,csrf_score,difficulty_label
synthetic_user_1502,2,108,14,6,0.21599893780904006,246.3592780911909,2,3,2,16.577811097153614,1.8809120134099935,17.695039214161632,25.51939256007157,13.926845115203184,beginner
synthetic_user_2587,1,32,6,9,0.4312044160908543,327.58847181796807,1,5,91,1.1983666926346903,10.10577884214875,0.6150310189757997,4.875253990488672,5.605569455752084,beginner
synthetic_user_2654,3,316,6,5,0.4528574536617189,326.19876758873914,0,2,3,42.95088003241668,13.257621698314425,11.70811320656312,39.10461410036032,114.17877096234545,beginner
synthetic_user_1056,17,4217,4,62,0.9182253538743,88.46659232659312,11,0,5,1205.577185365015,440.0247677656085,195.88850739432712,258.22199966505093,852.1875398099978,expert
synthetic_user_706,1,256,8,3,0.4442626301163989,310.91937710919797,1,5,22,32.76172007407332,11.524901990278611,88.0646240638452,38.55084163626147,8.297912235541371,beginner
synthetic_user_107,2,333,9,4,0.35378456156174154,213.8265572373239,0,7,4,6.877263656755939,34.8485102307045,60.319852758468436,58.12964741707943,72.9247259369917,beginner
synthetic_user_590,10,3982,3,42,0.9673110269662668,93.04321101968553,14,0,55,74.60407703112618,1108.6933568603756,1043.3363365406967,283.38251421980516,277.38371534799626,expert
synthetic_user_2469,4,1221,11,10,0.5169575192339889,147.24444064376829,3,1,29,191.14798991737783,16.234988503415448,186.0137207661484,453.5243313033688,7.778969509689488,intermediate
synthetic_user_2414,3,297,18,4,0.3963984885684148,392.28497531961625,2,2,19,50.02962672684701,22.245171893839046,6.57962813032553,30.763026157129666,98.2825470918587,beginner
synthetic_user_1601,4,987,4,13,0.6693621209127439,244.04479494352216,5,2,29,356.3693638936358,53.29406593364503,162.63960072085544,54.30860210055168,64.2883673513119,intermediate
synthetic_user_2465,13,4119,3,92,0.9523931344554424,77.29251992444213,13,1,9,1336.4402589786448,218.92595863112953,211.38577741910595,1051.0039697596949,65.54403521142477,expert
synthetic_user_229,12,6408,4,51,0.9262105750862467,116.29634669759633,7,0,1,535.5868953971881,199.05194249454047,1725.4572225429206,1482.9674420594472,542.5364975059028,expert
synthetic_user_916,10,1837,4,24,0.7258597585344375,131.7907160640286,8,2,42,514.7717281501326,576.4096838317863,75.74899095580545,48.45703588909633,70.5125611731791,advanced
synthetic_user_795,11,7111,1,65,0.8878566068476956,87.19525821866867,7,0,32,441.6742276720652,1910.0713351453455,837.8633938983808,503.3228512973179,1284.768191986891,expert
synthetic_user_3022,2,11,11,0,0.412176231520334,353.56196095111545,2,3,20,3.1474416481558856,1.381827342696698,1.442398629715743,0.9497812793418595,0.7785511000898134,beginner
synthetic_user_3544,1,131,9,9,0.36160115151945005,307.3260442684447,2,3,48,22.08111474584886,35.99029396504869,4.365586959951017,10.515563759785673,18.74744056936573,beginner
synthetic_user_1074,6,857,7,13,0.6909883563470718,187.65313940873784,5,2,28,75.33950448168689,138.60487662355297,216.09984375354134,149.08470681036553,20.771068330853186,intermediate
synthetic_user_3352,3,421,5,24,0.4942895655721887,150.11142052106388,2,1,1,5.188697970429936,219.37695153171964,35.1532098281857,11.190772048352102,23.790368621312624,intermediate
synthetic_user_1745,3,202,10,7,0.471848190359568,210.9527555051651,2,2,26,19.365478234581794,20.278372983880185,6.866038182582348,33.86814936932255,61.02196122963311,beginner
synthetic_user_1085,9,2405,3,41,0.8376470644511265,154.97427564228178,5,0,22,619.2199766932868,189.6338320870106,149.54769320953213,132.3000464427546,592.798451567416,advanced
synthetic_user_927,1,226,12,3,0.47614169018416647,332.38991729597865,0,6,3,63.72211549444867,38.35516858029762,43.326591273791834,2.342134164023933,10.453990487437919,beginner
synthetic_user_3050,1,209,14,6,0.4377401001629334,378.3441751479927,1,4,1,8.562701167290987,89.34968950409736,3.951363264026533,14.104133889447084,30.332112175138008,beginner
synthetic_user_1118,1,285,19,4,0.2981298996200238,319.6387757035787,1,7,26,22.522129958728836,36.19859739204061,29.311227290345773,49.984236512113156,61.48380884677163,beginner
synthetic_user_643,5,707,4,22,0.6223110049905057,195.49582817365575,3,1,6,35.9807730763021,49.43556671819737,164.6495484558391,105.8162452115564,139.01786653810495,intermediate
outlier_specialist_268,11,3071,4,34,0.7415667060043489,159.49824603483583,7,1,89,50.0,2971.220886478458,50.0,50.0,50.0,advanced
synthetic_user_502,3,28,17,6,0.437761930286401,381.55016004824756,0,5,4,6.391408493405034,0.4008590833460943,2.1410060789596947,9.394227180610827,1.2724991636783471,beginner
synthetic_user_4067,1,357,16,3,0.252923169434338,295.5072300240886,2,2,21,53.103277201355525,37.272907456951046,66.66726196449794,46.02478747694828,46.83176590024719,beginner
synthetic_user_334,4,571,9,10,0.46364135207067475,237.31242589438773,5,1,27,22.419793544087884,53.7506277801788,4.559112986917775,157.9608318407289,161.00963384808662,intermediate
outlier_struggle_185,1,176,21,34,0.053860496894773194,381.7546644263491,0,18,104,9.717554706224686,23.885982421146412,28.630852678893316,8.995355994261779,16.50527618503284,beginner
synthetic_user_487,3,638,11,17,0.4703684744282355,243.5968127176473,4,2,22,101.85312231249361,8.77342825878458,6.203807002279243,204.62500182596284,125.14464060047976,intermediate
synthetic_user_1963,9,3083,6,26,0.8097962935545847,97.50501344334563,9,0,14,233.1317481154457,160.15746065339889,715.1766195624065,816.7981046540137,232.83606701473548,advanced
synthetic_user_394,2,308,13,1,0.23398988131948031,309.4649368678972,1,7,42,9.308431045474292,53.842816201295236,35.09387469178732,102.12635620818156,15.228521853261572,beginner
outlier_inconsistent_343,8,849,6,27,0.5809505019702565,110.52611758511492,3,4,87,131.9805586738097,112.7151621625999,326.2786385059719,129.62831755956447,389.2425061531448,advanced
outlier_high_367,24,10056,1,92,0.971870131726583,69.42125112664382,13,0,27,1850.6300166027813,1580.711420721977,1578.6670562472991,2338.7390151703944,2342.840864498978,expert
synthetic_user_1756,4,547,4,23,0.457535329430632,224.83296905799156,2,2,10,21.290211093867164,132.98419120822865,149.93458318904052,17.3347077120543,61.35630679680934,intermediate
synthetic_user_2516,16,3184,3,76,0.8573954047602163,85.2972145931912,12,1,4,9.32918009241957,287.87491896568054,272.53470886945854,1517.0587036596482,142.00248841279287,expert
synthetic_user_3586,3,830,10,20,0.5140675073229625,234.08113576024354,2,2,20,2.884620704331496,94.80120099436033,432.0321911686528,10.068305660473918,41.213681472181406,intermediate
synthetic_user_4316,1,496,18,8,0.29220665745079727,340.9029055433084,2,6,4,119.30057120148825,31.018766343840582,36.0341537936486,17.33298327398892,143.51352538703367,beginner
outlier_high_467,22,11497,1,129,0.9372318998538552,60.89474839326179,17,0,30,2342.841404045533,2668.4660226524175,2781.6050974777895,1760.8350893408483,1959.5112383293147,expert
synthetic_user_2100,6,2462,7,22,0.705595695276823,115.74396635738373,6,0,39,135.05703807944585,832.8066209844015,157.45952822449874,219.74910738275318,378.327705328901,advanced
synthetic_user_3600,7,2978,1,26,0.8101536082234737,95.14889259906091,8,2,50,118.06098322825765,82.37729140113163,1249.193075003354,152.00955391887263,482.9590964483839,advanced
synthetic_user_4122,7,2047,6,21,0.653380559615867,108.55659532413162,4,0,1,756.7650957668525,200.65802237149387,179.40091540367425,96.00803459641038,200.06793186156878,advanced
synthetic_user_30,4,1498,11,11,0.6693680033817632,224.4525209500303,2,3,14,24.333749731731483,173.00507012250412,204.82823759537297,580.1488726871058,66.28406986328548,intermediate
synthetic_user_66,5,1402,9,24,0.6080660719798826,246.8203710387583,2,0,12,194.51306309208582,470.3969358050334,182.81488932036487,48.67351492456808,85.00159685794776,intermediate
synthetic_user_839,1,147,11,2,0.26442609974752485,284.05805201085104,1,4,18,33.98660252146998,32.81977721912868,7.6509122093738,3.8599120813756023,24.582795968651933,beginner
synthetic_user_3907,3,1248,10,22,0.6451166255637731,237.4910447624328,3,3,32,4.996211929181633,329.01491841930033,324.12347234562634,24.673354410996886,190.7920428948947,intermediate
synthetic_user_3774,2,238,16,3,0.27685039584016297,255.15795339147326,0,5,8,62.300110598885325,19.389272758834917,15.372676244073494,22.717746071110476,46.82019432709581,beginner
outlier_high_136,20,10030,0,89,0.933984395030923,31.891137977435385,11,0,41,2153.3111701006565,1660.0655685050745,2787.2963255886407,1646.5626817552961,2556.506121589511,expert
synthetic_user_3162,3,404,10,2,0.2809051471138255,251.22611982189107,1,3,20,120.3137964257559,20.809260629874622,17.069805207772173,103.74397590245808,20.863161834139184,beginner
synthetic_user_2660,5,632,8,13,0.5171156155329504,140.54705924739577,5,2,32,123.207634672384,21.377409910300706,125.80536770465088,112.83291056807654,59.17667714458788,intermediate
outlier_high_116,16,13811,1,112,0.9831490979606281,44.19775318427325,14,0,48,2215.4369293417567,1748.661768130387,2637.0469508164942,1554.918900740733,1837.0886154546938,expert
outlier_struggle_129,1,154,19,32,0.07594640193899399,406.28448034276425,0,14,168,39.31144325173909,14.665873199840707,16.7231167188097,8.039216812892535,19.95262015065013,beginner
synthetic_user_2452,3,781,10,15,0.6133805536601569,242.63929479227136,5,2,30,20.257828958614272,238.06777624493455,28.938747586998858,170.89342241743157,88.54222479202072,intermediate
